,Countries,Sales
0,United States,858373000
1,Austria,8376632
2,Belgium,8682740
3,Bulgaria,1469984
4,Croatia,1144369
5,Czech Republic,6610971
6,Denmark,10254418
7,Egypt,1754341
8,Finland,4938241
9,France,62387891
10,Germany,64319294
11,Greece,4175061
12,Hungary,4476885
13,Iceland,749185
14,Italy,34025303
15,Lithuania,627672
16,Netherlands,15067561
17,Nigeria,1360313
18,Norway,8144856
19,Poland,10558455
20,Portugal,4296991
21,Romania,3376295
22,Serbia and Montenegro,804153
23,Slovakia,1990548
24,Slovenia,611641
25,South Africa,7167751
26,Spain,32666285
27,Sweden,11757454
28,Switzerland,8710255
29,Turkey,7920068
30,Ukraine,5971461
31,United Arab Emirates,12783189
32,United Kingdom,114921662
33,Argentina,17724843
34,Bolivia,3617750
35,Brazil,85667373
36,Chile,18864424
37,Colombia,17689425
38,Mexico,77594725
39,Paraguay,1564327
40,Uruguay,1366731
41,Venezuela,1001684
42,Australia,59103419
43,Hong Kong,29330722
44,India,62678476
45,Indonesia,34775278
46,Japan,55280047
47,Malaysia,21043570
48,New Zealand,9306545
49,Philippines,32839486
50,Russia/CIS,46006725
51,Singapore,14346820
52,South Korea,105229503
53,Taiwan,29386075
54,Thailand,27230829
55,Vietnam,11703305
56,China,614316021
