,Countries,Sales,SalesLog
0,United States,318604126,19.579459905764402
1,Austria,1018284,13.833629415574368
2,Belgium,1970548,14.493822234620183
3,Bulgaria,157124,11.964790581512709
4,Croatia,162294,11.997164784242617
5,Cyprus,52499,10.868549400779258
6,Czech Republic,400223,12.899777170744729
7,Czech Republic/Slovakia,467215,13.054544816145146
8,Denmark,2220811,14.613383002452384
9,East Africa,93840,11.449346483327357
10,Egypt,265031,12.487602079258675
11,Estonia,83069,11.327426866720453
12,Finland,673760,13.420629243395755
13,France,19197690,16.77030051725988
14,Germany,8560475,15.96266623723258
15,Greece,1799601,14.40307553162804
16,Hungary,682308,13.43323644778241
17,Iceland,278202,12.536102747518248
18,Israel,606803,13.315959470412652
19,Italy,10809921,16.195974881540582
20,Kuwait,839076,13.640056565375463
21,Latvia,126835,11.750642308133898
22,Lebanon,101817,11.530932363262686
23,Lithuania,158882,11.975917067316587
24,Netherlands,2103537,14.559130771589416
25,Nigeria,49724,10.814242992911606
26,Norway,1860067,14.436123066546001
27,Poland,995816,13.811317780544568
28,Portugal,1323382,14.09570113913769
29,Romania,243918,12.404587382218878
30,Serbia and Montenegro,30130,10.313276632124348
31,Slovakia,69024,11.142209549188882
32,Slovenia,88033,11.385467023165416
33,South Africa,1464664,14.197136422592383
34,South Africa/Nigeria,1488822,14.213495761202612
35,Spain,12030026,16.302916249212036
36,Sweden,2057727,14.537112533515712
37,Switzerland,1361378,14.124007980029953
38,Turkey,1662239,14.323676046706334
39,Ukraine,828937,13.627899436054744
40,United Arab Emirates,1841925,14.426321778356067
41,United Kingdom,34282266,17.350138752192947
42,Argentina,1606400,14.289506208479548
43,Bolivia,151386,11.927588145432434
44,Brazil,13499792,16.418184835882556
45,Central America+,2187416,14.598231496476608
46,Chile,1383728,14.14029186405294
47,Colombia,1729740,14.363481666162095
48,Ecuador,926368,13.739026842889933
49,Mexico,15945395,16.584680630775463
50,Peru,1521193,14.235005453395361
51,Uruguay,73896,11.210413978272445
52,Venezuela,1891944,14.453115429847253
53,Australia,19087903,16.764565341580184
54,Hong Kong,2844618,14.860939345877194
55,India,1993885,14.505595554821712
56,Indonesia,2147484,14.579807482288928
57,Japan,8658784,15.974084854975022
58,Malaysia,3469079,15.05939969882605
59,New Zealand,2731097,14.820213917950317
60,Philippines,3994681,15.20047428418208
61,Russia/CIS,9490254,16.06577593524374
62,Singapore,3823968,15.15679918491758
63,South Korea,25169783,17.041154745699682
64,Taiwan,5367022,15.495783750274843
65,Thailand,2446286,14.710081513986795
66,China,15274332,16.54168433047812
